
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( e | b ...) = 0.310468 [ -0.507983 ]
p( e | e ...) = 0.298223 [ -0.525458 ]
p( n | e ...) = 0.313825 [ -0.503312 ]
sum logprob = -12.9332, per-symbol logprob = -0.7608, ppl = 5.7647

sentence = 'w h a t <sp> a r e <sp> y o u <sp> t a l k i n g <sp> a b o u t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( a | _ ...) = 0.095077 [ -1.021925 ]
p( r | a ...) = 0.090119 [ -1.045184 ]
p( e | r ...) = 0.277982 [ -0.555983 ]
p( _ | e ...) = 0.295581 [ -0.529323 ]
p( y | _ ...) = 0.172060 [ -0.764319 ]
p( o | y ...) = 0.317651 [ -0.498050 ]
p( u | o ...) = 0.311409 [ -0.506669 ]
p( _ | u ...) = 0.243888 [ -0.612809 ]
p( t | _ ...) = 0.081540 [ -1.088630 ]
p( a | t ...) = 0.149838 [ -0.824379 ]
p( l | a ...) = 0.277949 [ -0.556035 ]
p( k | l ...) = 0.306641 [ -0.513370 ]
p( i | k ...) = 0.314589 [ -0.502257 ]
p( n | i ...) = 0.313842 [ -0.503289 ]
p( g | n ...) = 0.023326 [ -1.632151 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( a | _ ...) = 0.313685 [ -0.503507 ]
p( b | a ...) = 0.306145 [ -0.514073 ]
p( o | b ...) = 0.318471 [ -0.496930 ]
p( u | o ...) = 0.112564 [ -0.948601 ]
p( t | u ...) = 0.097842 [ -1.009477 ]
sum logprob = -20.0501, per-symbol logprob = -0.7712, ppl = 5.9042

sentence = 'i <sp> h a d <sp> t o <sp> g o <sp> b a c k'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( h | _ ...) = 0.062916 [ -1.201239 ]
p( a | h ...) = 0.220227 [ -0.657129 ]
p( d | a ...) = 0.119299 [ -0.923363 ]
p( _ | d ...) = 0.307443 [ -0.512236 ]
p( t | _ ...) = 0.121062 [ -0.916994 ]
p( o | t ...) = 0.209088 [ -0.679670 ]
p( _ | o ...) = 0.273280 [ -0.563392 ]
p( g | _ ...) = 0.093549 [ -1.028959 ]
p( o | g ...) = 0.203084 [ -0.692324 ]
p( _ | o ...) = 0.311184 [ -0.506982 ]
p( b | _ ...) = 0.099578 [ -1.001837 ]
p( a | b ...) = 0.262005 [ -0.581691 ]
p( c | a ...) = 0.302242 [ -0.519646 ]
p( k | c ...) = 0.067852 [ -1.168434 ]
sum logprob = -12.8535, per-symbol logprob = -0.8033, ppl = 6.3584

sentence = 's o m e t i m e s <sp> i <sp> f e e l <sp> n o <sp> o n e <sp> c a n <sp> u n d e r s t a n d <sp> w h a t <sp> i t <sp> f e e l s <sp> l i k e <sp> t o <sp> g o <sp> t h r o u g h <sp> t h i s'
p( s | <s> ...) = 0.060403 [ -1.218943 ]
p( o | s ...) = 0.069337 [ -1.159036 ]
p( m | o ...) = 0.092044 [ -1.036005 ]
p( e | m ...) = 0.150127 [ -0.823542 ]
p( t | e ...) = 0.177731 [ -0.750236 ]
p( i | t ...) = 0.103839 [ -0.983638 ]
p( m | i ...) = 0.062087 [ -1.206999 ]
p( e | m ...) = 0.084430 [ -1.073504 ]
p( s | e ...) = 0.103772 [ -0.983921 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.112297 [ -0.949630 ]
p( _ | i ...) = 0.038327 [ -1.416491 ]
p( f | _ ...) = 0.011823 [ -1.927288 ]
p( e | f ...) = 0.153564 [ -0.813712 ]
p( e | e ...) = 0.230542 [ -0.637249 ]
p( l | e ...) = 0.307874 [ -0.511627 ]
p( _ | l ...) = 0.311992 [ -0.505856 ]
p( n | _ ...) = 0.028318 [ -1.547939 ]
p( o | n ...) = 0.198928 [ -0.701304 ]
p( _ | o ...) = 0.156306 [ -0.806023 ]
p( o | _ ...) = 0.042139 [ -1.375321 ]
p( n | o ...) = 0.149031 [ -0.826723 ]
p( e | n ...) = 0.305547 [ -0.514922 ]
p( _ | e ...) = 0.307056 [ -0.512782 ]
p( c | _ ...) = 0.113046 [ -0.946746 ]
p( a | c ...) = 0.297339 [ -0.526749 ]
p( n | a ...) = 0.151876 [ -0.818511 ]
p( _ | n ...) = 0.312124 [ -0.505673 ]
p( u | _ ...) = 0.067108 [ -1.173228 ]
p( n | u ...) = 0.280742 [ -0.551692 ]
p( d | n ...) = 0.299314 [ -0.523872 ]
p( e | d ...) = 0.310957 [ -0.507300 ]
p( r | e ...) = 0.311552 [ -0.506470 ]
p( s | r ...) = 0.310174 [ -0.508395 ]
p( t | s ...) = 0.318572 [ -0.496793 ]
p( a | t ...) = 0.264070 [ -0.578280 ]
p( n | a ...) = 0.181514 [ -0.741090 ]
p( d | n ...) = 0.308753 [ -0.510389 ]
p( _ | d ...) = 0.313313 [ -0.504022 ]
p( w | _ ...) = 0.133267 [ -0.875279 ]
p( h | w ...) = 0.310537 [ -0.507886 ]
p( a | h ...) = 0.185499 [ -0.731659 ]
p( t | a ...) = 0.179898 [ -0.744974 ]
p( _ | t ...) = 0.304855 [ -0.515907 ]
p( i | _ ...) = 0.190140 [ -0.720927 ]
p( t | i ...) = 0.086248 [ -1.064249 ]
p( _ | t ...) = 0.282242 [ -0.549379 ]
p( f | _ ...) = 0.040644 [ -1.391009 ]
p( e | f ...) = 0.309516 [ -0.509317 ]
p( e | e ...) = 0.304451 [ -0.516482 ]
p( l | e ...) = 0.311806 [ -0.506116 ]
p( s | l ...) = 0.310253 [ -0.508285 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( l | _ ...) = 0.306676 [ -0.513320 ]
p( i | l ...) = 0.317268 [ -0.498574 ]
p( k | i ...) = 0.307600 [ -0.512014 ]
p( e | k ...) = 0.319052 [ -0.496139 ]
p( _ | e ...) = 0.313471 [ -0.503803 ]
p( t | _ ...) = 0.230714 [ -0.636927 ]
p( o | t ...) = 0.305557 [ -0.514908 ]
p( _ | o ...) = 0.312112 [ -0.505690 ]
p( g | _ ...) = 0.042693 [ -1.369647 ]
p( o | g ...) = 0.170607 [ -0.768003 ]
p( _ | o ...) = 0.307739 [ -0.511818 ]
p( t | _ ...) = 0.206531 [ -0.685015 ]
p( h | t ...) = 0.258542 [ -0.587468 ]
p( r | h ...) = 0.303148 [ -0.518345 ]
p( o | r ...) = 0.313389 [ -0.503917 ]
p( u | o ...) = 0.311389 [ -0.506697 ]
p( g | u ...) = 0.034170 [ -1.466352 ]
p( h | g ...) = 0.046235 [ -1.335029 ]
p( _ | h ...) = 0.313453 [ -0.503828 ]
p( t | _ ...) = 0.183330 [ -0.736767 ]
p( h | t ...) = 0.303967 [ -0.517173 ]
p( i | h ...) = 0.198423 [ -0.702409 ]
p( s | i ...) = 0.062709 [ -1.202667 ]
sum logprob = -57.9275, per-symbol logprob = -0.7622, ppl = 5.7837

sentence = 'w h a t <sp> d o <sp> y o u <sp> t h i n k <sp> w e <sp> s h o u l d <sp> d o'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( d | _ ...) = 0.022595 [ -1.645992 ]
p( o | d ...) = 0.202985 [ -0.692537 ]
p( _ | o ...) = 0.136752 [ -0.864068 ]
p( y | _ ...) = 0.225586 [ -0.646688 ]
p( o | y ...) = 0.317457 [ -0.498316 ]
p( u | o ...) = 0.311412 [ -0.506665 ]
p( _ | u ...) = 0.310332 [ -0.508174 ]
p( t | _ ...) = 0.161685 [ -0.791329 ]
p( h | t ...) = 0.307423 [ -0.512263 ]
p( i | h ...) = 0.316637 [ -0.499438 ]
p( n | i ...) = 0.188446 [ -0.724813 ]
p( k | n ...) = 0.307523 [ -0.512123 ]
p( _ | k ...) = 0.313429 [ -0.503861 ]
p( w | _ ...) = 0.064636 [ -1.189528 ]
p( e | w ...) = 0.171686 [ -0.765266 ]
p( _ | e ...) = 0.284600 [ -0.545766 ]
p( s | _ ...) = 0.157958 [ -0.801459 ]
p( h | s ...) = 0.307581 [ -0.512040 ]
p( o | h ...) = 0.316126 [ -0.500140 ]
p( u | o ...) = 0.311246 [ -0.506896 ]
p( l | u ...) = 0.089528 [ -1.048043 ]
p( d | l ...) = 0.212528 [ -0.672583 ]
p( _ | d ...) = 0.312285 [ -0.505449 ]
p( d | _ ...) = 0.206321 [ -0.685457 ]
p( o | d ...) = 0.316268 [ -0.499945 ]
sum logprob = -22.0582, per-symbol logprob = -0.7353, ppl = 5.4359

sentence = 'i <sp> r e a l l y <sp> t r i e d'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( r | _ ...) = 0.023570 [ -1.627645 ]
p( e | r ...) = 0.225286 [ -0.647267 ]
p( a | e ...) = 0.125226 [ -0.902307 ]
p( l | a ...) = 0.073432 [ -1.134113 ]
p( l | l ...) = 0.201321 [ -0.696111 ]
p( y | l ...) = 0.102259 [ -0.990298 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.036325 [ -1.439797 ]
p( r | t ...) = 0.098189 [ -1.007939 ]
p( i | r ...) = 0.221240 [ -0.655136 ]
p( e | i ...) = 0.304675 [ -0.516163 ]
p( d | e ...) = 0.134725 [ -0.870553 ]
sum logprob = -12.8908, per-symbol logprob = -0.9208, ppl = 8.3324

sentence = 'w h y <sp> d i d <sp> y o u <sp> g e t <sp> s o <sp> m a n y'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( y | h ...) = 0.068581 [ -1.163797 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( d | _ ...) = 0.022580 [ -1.646276 ]
p( i | d ...) = 0.141920 [ -0.847958 ]
p( d | i ...) = 0.233832 [ -0.631096 ]
p( _ | d ...) = 0.251669 [ -0.599170 ]
p( y | _ ...) = 0.126731 [ -0.897116 ]
p( o | y ...) = 0.316570 [ -0.499530 ]
p( u | o ...) = 0.311351 [ -0.506750 ]
p( _ | u ...) = 0.302242 [ -0.519645 ]
p( g | _ ...) = 0.099236 [ -1.003331 ]
p( e | g ...) = 0.232200 [ -0.634138 ]
p( t | e ...) = 0.318100 [ -0.497437 ]
p( _ | t ...) = 0.313341 [ -0.503982 ]
p( s | _ ...) = 0.052783 [ -1.277505 ]
p( o | s ...) = 0.184490 [ -0.734026 ]
p( _ | o ...) = 0.251709 [ -0.599102 ]
p( m | _ ...) = 0.134116 [ -0.872519 ]
p( a | m ...) = 0.182859 [ -0.737884 ]
p( n | a ...) = 0.230038 [ -0.638200 ]
p( y | n ...) = 0.307873 [ -0.511629 ]
sum logprob = -18.0437, per-symbol logprob = -0.7845, ppl = 6.0885

sentence = 'e x c u s e <sp> m e'
p( e | <s> ...) = 0.036671 [ -1.435680 ]
p( x | e ...) = 0.042273 [ -1.373935 ]
p( c | x ...) = 0.070304 [ -1.153019 ]
p( u | c ...) = 0.026775 [ -1.572278 ]
p( s | u ...) = 0.087734 [ -1.056831 ]
p( e | s ...) = 0.042704 [ -1.369532 ]
p( _ | e ...) = 0.171721 [ -0.765176 ]
p( m | _ ...) = 0.195533 [ -0.708780 ]
p( e | m ...) = 0.285587 [ -0.544261 ]
sum logprob = -9.9795, per-symbol logprob = -1.1088, ppl = 12.8479

sentence = 'h a v e <sp> y o u <sp> e v e r <sp> h a d <sp> t h o s e'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( a | h ...) = 0.072344 [ -1.140597 ]
p( v | a ...) = 0.071496 [ -1.145717 ]
p( e | v ...) = 0.158392 [ -0.800268 ]
p( _ | e ...) = 0.292599 [ -0.533727 ]
p( y | _ ...) = 0.042293 [ -1.373735 ]
p( o | y ...) = 0.274304 [ -0.561768 ]
p( u | o ...) = 0.310049 [ -0.508570 ]
p( _ | u ...) = 0.230076 [ -0.638128 ]
p( e | _ ...) = 0.142738 [ -0.845461 ]
p( v | e ...) = 0.287898 [ -0.540761 ]
p( e | v ...) = 0.318882 [ -0.496370 ]
p( r | e ...) = 0.304649 [ -0.516200 ]
p( _ | r ...) = 0.313185 [ -0.504198 ]
p( h | _ ...) = 0.115867 [ -0.936042 ]
p( a | h ...) = 0.173860 [ -0.759801 ]
p( d | a ...) = 0.297338 [ -0.526750 ]
p( _ | d ...) = 0.313188 [ -0.504195 ]
p( t | _ ...) = 0.146146 [ -0.835212 ]
p( h | t ...) = 0.203115 [ -0.692258 ]
p( o | h ...) = 0.063018 [ -1.200533 ]
p( s | o ...) = 0.285449 [ -0.544471 ]
p( e | s ...) = 0.109966 [ -0.958742 ]
sum logprob = -18.1475, per-symbol logprob = -0.7890, ppl = 6.1521

sentence = 'w h o <sp> a r e <sp> y o u <sp> t a l k i n g <sp> a b o u t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( o | h ...) = 0.101209 [ -0.994781 ]
p( _ | o ...) = 0.282368 [ -0.549184 ]
p( a | _ ...) = 0.103772 [ -0.983922 ]
p( r | a ...) = 0.143887 [ -0.841980 ]
p( e | r ...) = 0.293392 [ -0.532551 ]
p( _ | e ...) = 0.301663 [ -0.520478 ]
p( y | _ ...) = 0.020579 [ -1.686571 ]
p( o | y ...) = 0.291024 [ -0.536072 ]
p( u | o ...) = 0.310295 [ -0.508226 ]
p( _ | u ...) = 0.153306 [ -0.814441 ]
p( t | _ ...) = 0.099101 [ -1.003922 ]
p( a | t ...) = 0.130469 [ -0.884492 ]
p( l | a ...) = 0.262768 [ -0.580428 ]
p( k | l ...) = 0.304110 [ -0.516969 ]
p( i | k ...) = 0.315588 [ -0.500880 ]
p( n | i ...) = 0.313541 [ -0.503706 ]
p( g | n ...) = 0.024138 [ -1.617304 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( a | _ ...) = 0.275788 [ -0.559425 ]
p( b | a ...) = 0.304721 [ -0.516098 ]
p( o | b ...) = 0.318435 [ -0.496979 ]
p( u | o ...) = 0.093613 [ -1.028665 ]
p( t | u ...) = 0.088098 [ -1.055033 ]
sum logprob = -19.9547, per-symbol logprob = -0.7982, ppl = 6.2833

sentence = 'w o u l d <sp> y o u <sp> l i k e <sp> t o <sp> g o <sp> s o m e w h e r e <sp> o v e r n i g h t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( o | w ...) = 0.066628 [ -1.176341 ]
p( u | o ...) = 0.068159 [ -1.166477 ]
p( l | u ...) = 0.057584 [ -1.239700 ]
p( d | l ...) = 0.111619 [ -0.952260 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( y | _ ...) = 0.047435 [ -1.323903 ]
p( o | y ...) = 0.280851 [ -0.551524 ]
p( u | o ...) = 0.310764 [ -0.507569 ]
p( _ | u ...) = 0.272858 [ -0.564063 ]
p( l | _ ...) = 0.103466 [ -0.985203 ]
p( i | l ...) = 0.285873 [ -0.543828 ]
p( k | i ...) = 0.288684 [ -0.539578 ]
p( e | k ...) = 0.318830 [ -0.496440 ]
p( _ | e ...) = 0.313150 [ -0.504247 ]
p( t | _ ...) = 0.237998 [ -0.623426 ]
p( o | t ...) = 0.282011 [ -0.549734 ]
p( _ | o ...) = 0.312859 [ -0.504651 ]
p( g | _ ...) = 0.062603 [ -1.203406 ]
p( o | g ...) = 0.208396 [ -0.681110 ]
p( _ | o ...) = 0.311105 [ -0.507092 ]
p( s | _ ...) = 0.047925 [ -1.319440 ]
p( o | s ...) = 0.100490 [ -0.997878 ]
p( m | o ...) = 0.205425 [ -0.687347 ]
p( e | m ...) = 0.318802 [ -0.496478 ]
p( w | e ...) = 0.233416 [ -0.631870 ]
p( h | w ...) = 0.312406 [ -0.505280 ]
p( e | h ...) = 0.224000 [ -0.649752 ]
p( r | e ...) = 0.208765 [ -0.680343 ]
p( e | r ...) = 0.256108 [ -0.591577 ]
p( _ | e ...) = 0.313471 [ -0.503802 ]
p( o | _ ...) = 0.051578 [ -1.287535 ]
p( v | o ...) = 0.038184 [ -1.418115 ]
p( e | v ...) = 0.318524 [ -0.496858 ]
p( r | e ...) = 0.311558 [ -0.506461 ]
p( n | r ...) = 0.049075 [ -1.309136 ]
p( i | n ...) = 0.207687 [ -0.682590 ]
p( g | i ...) = 0.294286 [ -0.531230 ]
p( h | g ...) = 0.313069 [ -0.504360 ]
p( t | h ...) = 0.316589 [ -0.499505 ]
sum logprob = -30.6950, per-symbol logprob = -0.7674, ppl = 5.8530

sentence = 'p l e a s e <sp> m a k e <sp> t h i s <sp> a g a i n'
p( p | <s> ...) = 0.047203 [ -1.326033 ]
p( l | p ...) = 0.076707 [ -1.115165 ]
p( e | l ...) = 0.092150 [ -1.035506 ]
p( a | e ...) = 0.195401 [ -0.709074 ]
p( s | a ...) = 0.057401 [ -1.241082 ]
p( e | s ...) = 0.101235 [ -0.994669 ]
p( _ | e ...) = 0.313471 [ -0.503802 ]
p( m | _ ...) = 0.018841 [ -1.724902 ]
p( a | m ...) = 0.154937 [ -0.809844 ]
p( k | a ...) = 0.160498 [ -0.794531 ]
p( e | k ...) = 0.083893 [ -1.076274 ]
p( _ | e ...) = 0.272189 [ -0.565130 ]
p( t | _ ...) = 0.098753 [ -1.005449 ]
p( h | t ...) = 0.301850 [ -0.520209 ]
p( i | h ...) = 0.131176 [ -0.882145 ]
p( s | i ...) = 0.054176 [ -1.266194 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( a | _ ...) = 0.142482 [ -0.846240 ]
p( g | a ...) = 0.018072 [ -1.743004 ]
p( a | g ...) = 0.209398 [ -0.679028 ]
p( i | a ...) = 0.058943 [ -1.229571 ]
p( n | i ...) = 0.064021 [ -1.193676 ]
sum logprob = -21.7653, per-symbol logprob = -0.9893, ppl = 9.7574

sentence = 'w h a t <sp> a r e <sp> y o u <sp> t r y i n g <sp> t o <sp> d o'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( a | _ ...) = 0.095077 [ -1.021925 ]
p( r | a ...) = 0.090119 [ -1.045184 ]
p( e | r ...) = 0.277982 [ -0.555983 ]
p( _ | e ...) = 0.295581 [ -0.529323 ]
p( y | _ ...) = 0.172060 [ -0.764319 ]
p( o | y ...) = 0.317651 [ -0.498050 ]
p( u | o ...) = 0.311409 [ -0.506669 ]
p( _ | u ...) = 0.243888 [ -0.612809 ]
p( t | _ ...) = 0.081540 [ -1.088630 ]
p( r | t ...) = 0.128849 [ -0.889918 ]
p( y | r ...) = 0.287905 [ -0.540751 ]
p( i | y ...) = 0.316506 [ -0.499618 ]
p( n | i ...) = 0.312610 [ -0.504998 ]
p( g | n ...) = 0.033580 [ -1.473915 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.311365 [ -0.506731 ]
p( o | t ...) = 0.317638 [ -0.498067 ]
p( _ | o ...) = 0.313027 [ -0.504419 ]
p( d | _ ...) = 0.162979 [ -0.787868 ]
p( o | d ...) = 0.306951 [ -0.512931 ]
sum logprob = -18.7653, per-symbol logprob = -0.7506, ppl = 5.6313

sentence = 't h a t <sp> d e p e n d s'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( h | t ...) = 0.177425 [ -0.750985 ]
p( a | h ...) = 0.085167 [ -1.069726 ]
p( t | a ...) = 0.255543 [ -0.592535 ]
p( _ | t ...) = 0.313471 [ -0.503802 ]
p( d | _ ...) = 0.022611 [ -1.645683 ]
p( e | d ...) = 0.080718 [ -1.093030 ]
p( p | e ...) = 0.043388 [ -1.362626 ]
p( e | p ...) = 0.164715 [ -0.783266 ]
p( n | e ...) = 0.062424 [ -1.204651 ]
p( d | n ...) = 0.142621 [ -0.845815 ]
p( s | d ...) = 0.173931 [ -0.759622 ]
sum logprob = -11.4642, per-symbol logprob = -0.9553, ppl = 9.0229

sentence = 'w h a t <sp> h a p p e n e d <sp> t h i s <sp> t i m e'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( h | _ ...) = 0.062875 [ -1.201520 ]
p( a | h ...) = 0.202176 [ -0.694270 ]
p( p | a ...) = 0.076924 [ -1.113937 ]
p( p | p ...) = 0.022190 [ -1.653836 ]
p( e | p ...) = 0.295457 [ -0.529506 ]
p( n | e ...) = 0.307631 [ -0.511969 ]
p( e | n ...) = 0.189650 [ -0.722048 ]
p( d | e ...) = 0.106876 [ -0.971118 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.187432 [ -0.727156 ]
p( h | t ...) = 0.104476 [ -0.980983 ]
p( i | h ...) = 0.110946 [ -0.954888 ]
p( s | i ...) = 0.048782 [ -1.311744 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.130790 [ -0.883424 ]
p( i | t ...) = 0.311540 [ -0.506486 ]
p( m | i ...) = 0.309458 [ -0.509398 ]
p( e | m ...) = 0.319026 [ -0.496174 ]
sum logprob = -19.6954, per-symbol logprob = -0.8563, ppl = 7.1833

sentence = 'i t <sp> c e r t a i n l y <sp> d i d'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( t | i ...) = 0.078008 [ -1.107859 ]
p( _ | t ...) = 0.209261 [ -0.679312 ]
p( c | _ ...) = 0.016090 [ -1.793442 ]
p( e | c ...) = 0.042660 [ -1.369984 ]
p( r | e ...) = 0.153360 [ -0.814287 ]
p( t | r ...) = 0.274059 [ -0.562156 ]
p( a | t ...) = 0.268125 [ -0.571663 ]
p( i | a ...) = 0.090029 [ -1.045615 ]
p( n | i ...) = 0.275756 [ -0.559475 ]
p( l | n ...) = 0.196091 [ -0.707542 ]
p( y | l ...) = 0.261321 [ -0.582826 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( d | _ ...) = 0.116189 [ -0.934834 ]
p( i | d ...) = 0.167990 [ -0.774715 ]
p( d | i ...) = 0.288337 [ -0.540100 ]
sum logprob = -13.4606, per-symbol logprob = -0.8413, ppl = 6.9389

sentence = 'w o u l d <sp> y o u <sp> b e <sp> w i l l i n g <sp> t o <sp> t r y <sp> t o <sp> g o <sp> o n <sp> a <sp> v a c a t i o n'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( o | w ...) = 0.066628 [ -1.176341 ]
p( u | o ...) = 0.068159 [ -1.166477 ]
p( l | u ...) = 0.057584 [ -1.239700 ]
p( d | l ...) = 0.111619 [ -0.952260 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( y | _ ...) = 0.047435 [ -1.323903 ]
p( o | y ...) = 0.280851 [ -0.551524 ]
p( u | o ...) = 0.310764 [ -0.507569 ]
p( _ | u ...) = 0.272858 [ -0.564063 ]
p( b | _ ...) = 0.079296 [ -1.100747 ]
p( e | b ...) = 0.277556 [ -0.556649 ]
p( _ | e ...) = 0.254547 [ -0.594233 ]
p( w | _ ...) = 0.077056 [ -1.113192 ]
p( i | w ...) = 0.248343 [ -0.604948 ]
p( l | i ...) = 0.285071 [ -0.545046 ]
p( l | l ...) = 0.311531 [ -0.506499 ]
p( i | l ...) = 0.317046 [ -0.498878 ]
p( n | i ...) = 0.234755 [ -0.629385 ]
p( g | n ...) = 0.234874 [ -0.629165 ]
p( _ | g ...) = 0.313408 [ -0.503889 ]
p( t | _ ...) = 0.314121 [ -0.502902 ]
p( o | t ...) = 0.318127 [ -0.497399 ]
p( _ | o ...) = 0.313402 [ -0.503898 ]
p( t | _ ...) = 0.082567 [ -1.083193 ]
p( r | t ...) = 0.107819 [ -0.967304 ]
p( y | r ...) = 0.137580 [ -0.861446 ]
p( _ | y ...) = 0.313403 [ -0.503897 ]
p( t | _ ...) = 0.150884 [ -0.821356 ]
p( o | t ...) = 0.192527 [ -0.715508 ]
p( _ | o ...) = 0.309341 [ -0.509563 ]
p( g | _ ...) = 0.093868 [ -1.027483 ]
p( o | g ...) = 0.098945 [ -1.004608 ]
p( _ | o ...) = 0.293088 [ -0.533003 ]
p( o | _ ...) = 0.092449 [ -1.034099 ]
p( n | o ...) = 0.174695 [ -0.757720 ]
p( _ | n ...) = 0.279884 [ -0.553021 ]
p( a | _ ...) = 0.173424 [ -0.760891 ]
p( _ | a ...) = 0.217271 [ -0.662998 ]
p( v | _ ...) = 0.032452 [ -1.488756 ]
p( a | v ...) = 0.170461 [ -0.768374 ]
p( c | a ...) = 0.283526 [ -0.547407 ]
p( a | c ...) = 0.313082 [ -0.504342 ]
p( t | a ...) = 0.243297 [ -0.613862 ]
p( i | t ...) = 0.136661 [ -0.864357 ]
p( o | i ...) = 0.219954 [ -0.657668 ]
p( n | o ...) = 0.313565 [ -0.503673 ]
sum logprob = -35.7881, per-symbol logprob = -0.7614, ppl = 5.7736

sentence = 'i <sp> n e v e r <sp> l i k e d <sp> t h e m'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( n | _ ...) = 0.028200 [ -1.549746 ]
p( e | n ...) = 0.152956 [ -0.815432 ]
p( v | e ...) = 0.076276 [ -1.117611 ]
p( e | v ...) = 0.181155 [ -0.741950 ]
p( r | e ...) = 0.106972 [ -0.970730 ]
p( _ | r ...) = 0.305410 [ -0.515116 ]
p( l | _ ...) = 0.021662 [ -1.664298 ]
p( i | l ...) = 0.143800 [ -0.842241 ]
p( k | i ...) = 0.192075 [ -0.716529 ]
p( e | k ...) = 0.318619 [ -0.496729 ]
p( d | e ...) = 0.240349 [ -0.619158 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.191508 [ -0.717812 ]
p( h | t ...) = 0.250937 [ -0.600435 ]
p( e | h ...) = 0.248097 [ -0.605378 ]
p( m | e ...) = 0.082055 [ -1.085893 ]
sum logprob = -15.4625, per-symbol logprob = -0.8590, ppl = 7.2282

sentence = 'h o w <sp> n i c e <sp> t o <sp> m e e t <sp> y o u'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( o | h ...) = 0.079238 [ -1.101066 ]
p( w | o ...) = 0.099177 [ -1.003587 ]
p( _ | w ...) = 0.313437 [ -0.503849 ]
p( n | _ ...) = 0.028462 [ -1.545733 ]
p( i | n ...) = 0.050454 [ -1.297107 ]
p( c | i ...) = 0.151842 [ -0.818607 ]
p( e | c ...) = 0.253447 [ -0.596113 ]
p( _ | e ...) = 0.249411 [ -0.603084 ]
p( t | _ ...) = 0.188361 [ -0.725009 ]
p( o | t ...) = 0.264286 [ -0.577927 ]
p( _ | o ...) = 0.310016 [ -0.508616 ]
p( m | _ ...) = 0.073201 [ -1.135483 ]
p( e | m ...) = 0.284563 [ -0.545821 ]
p( e | e ...) = 0.287003 [ -0.542113 ]
p( t | e ...) = 0.072783 [ -1.137969 ]
p( _ | t ...) = 0.313179 [ -0.504207 ]
p( y | _ ...) = 0.237903 [ -0.623600 ]
p( o | y ...) = 0.313531 [ -0.503720 ]
